Kaizen_title,background,baseline,issue
Improve Quality TOY HJL66 part 11028-21109 line B13,"Std Hours : 65.6
","Eff :67 %
","Unbalance shoulder 300.000ppm
Seam OL neckline tidak sesuai bentuk material ? sew bust kurang,Misewn stay armhole 200.000ppm
Seam stay armhole kebesaran spec 1/16” act 1/8” – 3/16”,Improper seam join sideseam 200.000ppm
(seam join sideseam kebesaran spec 3/16” act ¼”) diarea lengkung
Saat jahit sew bust 5X act 3X ? tidak mengikuti SOP,Loose stitches join sideseam 200.000ppm
Tension terlalu kendor,Improper seam felling hole
Saat jahit seam akhir dilepas"
REPLACEMENT WATER TANK FOR MTC WITH LOCAL VENDOR.,"DAMAGED MTC , LEAKING ISSUE,DISCONTINUE SPAREPART",4 DAMAGED MTC CANT BE USED,"DISCONTINUE SPAREPART WITH OLDER SHINI MODEL,LIFETIME WATERTANK LESS THAN 5 YEARS"
Improve Quality TOY HJL66 PART 11028-21111 line C15,"TOY RE RUN
","Eff :67 %
","Misewn stay armhole 800.000ppm
Karena seam stay armhole kebesaran  spec 1/16” actual 3/16”,Wrong dimention Seam join sideseam? seam join sideseam kebesaran spec 3/16” act 5/16” 600.000pm
Tidak ada guidance totokkan dimesin join sideseam,Mismatch back seam diarea topstich waist 600.000ppm
Saat jahit topstich langsung dijahit tidak dirapikan,Bumpy  600.000ppm
Lipatan material diarea Velcro loop kebesaran diarea bawah,Improper neckline 400.000ppm
Seam OL neckline kekecilan spec 1/8” actual 1/16” karena saat jahit tidak dipepetkan totokan"
Improve Quality Toy HNF73 Part 11029 - 69062 line C20,"TOY MASSAL COPY 3 LINE
","Eff : 46 %
","Improper felling  bottom 200,000ppm
Seam felling bottom kekecilan spec 1/8” actual 1/16” karena lipatan felling kurang,Mismatch back 200,000ppm
Karena setingan mesin Velcro untuk Velcro loop kerut,Unbalance shirring sleve 600.000ppm
Seam join sleeve kanan dan kiri tidak balance karena seam shirr join sleeve sebelah kiri Barbie tidak pas pada notch,Improper stitches toptitch sleve 400,000ppm
Tidak terdapat guidance seam topstick sleeve saat jahit,Improper collar 200,000ppm
Karena saat jahit join collar posisi center collar tidak sesuai notch center top"
Improve Quality Toy HNF77 Part 11029 - 69112 line B11,"TOY MASSAL
","Eff :45 %
","Unbalance bow 400,000 PPM 
Karena saat make bow posisi simpul tidak berada di tengah,Improper neckline 600,000 PPM
Seam OL neckline tidak mengikuti bentuk die cut diarea lengkung,Broken stitches join side seam 200,000 PPM 
Saat jahit join side seam stitches tacking tidak sampai dibagian ujung,Mismatch back 200,000 PPM
Karena seam felling bottom awal dan akhir tidak sama,Improper seam felling bottom 200,000 PPM
Karena seam/lipatan felling kekecilan (kurang dari ketinggian sepatu)"
BB - Improve Flow Proses Dan Segregasi Rework di Area Barbell,"Flow dan segregasi rework di area Barbell belum terorganisir dengan baik,Part rework di area barbell menumpuk 
","Part rework barbell menumpuk 15 bin,Belum ada lokator dan penempatan part after rework yang sesuai","Tidak ada layout untuk locator sehingga wasting time saat mencari part yang akan dibutuhkan
,Proses prepare part rework dilakukan oleh casual, sehingga tidak terkontrol (Finding ID dan No LKP)
,Tidak ada database part after rework dan before rework, sehingga trend chartnya, Sistem in out before after tidak terecord 
"
Improved System Storage Sample Master Chip ,"Longer Time to find Master Color Chip for guidance and reference,Wrong Placement Color Chip Master compared to data on log book",Time to find out the master chip is more than 20 minutes,"Search time color chips is more than 30 minutes,Manual input data for storing color chips master"
SW - Kaizen PP Toy HRF27,PP Kaizen untuk memastikan PS berjalan lancar,"Ct tidak balance di beberapa proses
Ada proses yg blm masuk flowchart","Proses joint flap ct 55s.-Karena harus mancari bentuk flap yg sama untuk posisi kanan dan kiri,Joint 1st overlap ct 52s.
-Karena hasil jahitan fringe tidak sama.,Hasil jahitan tacking stud kelihatan setelah di pasang stud, 4/5-Karena proses di lakukan dengan menggunakan mc st,Notch untuk lipatan bottom pant terlalu kecil.-Ukuran 1/16 sehingga hilang setelah di jahit,Hasil jahitan loop banyak sisa frying .-Karena tidak ada hours untuk trimming,Di temukan sisa benang panjang di area pocket-Karena tidak ada hours untuk proses tarik benang,Proses joint elastic to underwear kesulitan menyamakn sisi kanan kiri nya.-Karena marking hanya di lakukan 1 titik,Di temukan misewn felling leg hole 5/5-Karena sepatu felling terlalu besar untuk material underwear yg kecil,Proses topstich pocket kesulitan karena pocket tidak di stay tutup terlebih dahulu.-Tidak ada hours untuk melakukan proses."
Improved Storage System Master Color Chip,"Longer time to find master color chip during process color review,Lost master color chips",Waste time for waiting to find master color chips is about 20 minutes,"Lost master color chips,Longer time to find master color chip"
BBD - PP KAIZEN TOY HNP95 Basic MH Cleo,Downtime PP lebih dari 3 jam,Reject misspostion lower eyeshadow 500.000 ppm,"Cover kabel MC C02 DiJ lepas-Karena kurang rapat,reject  misspostion eye 500.000 ppm  -Karena posisi ruber kurang pas,Perbedaan warna eyeshadow dengan app sample
Root cause:
Cat terlalu encer,Posisi lower eyeshadow turun VS App sample 1000.000 ppm-Sudah mengikuti TI urutan proses, dan di ganti dg ink cup yg baru hasilnya masih blm ok,Upper lashes smear sebelah kanan 500.000 ppm-Dari tarikan inkcup kurang kuat"
REPAIR SHAFT ON SERVOMOTOR SUPERUNIT DAIKIN TATMING MACHINES,"DAMAGED SERVOMOTOR SHAFT ,MACHINE BREAKDOWN",11 SERVOMOTOR DAMAGED,MACHINE BREAKDOWN CAUSED BY DAMAGED SERVOMOTOR SHAFT
Journey Management Plan for Driver Orientation,Broken gate hit by container chassis and guidence is not yet available,No guidence for new driver,"Driver have no understanding about driving orientation in Mattel,Vendors management and company have no understanding about driving orientation in Mattel,No data tracking for driver fatigue based on their rites management,vehicle was leaving the container yard through security gate #3
(MIDC) failed to maneuver the left turn safely. ,No Marking for driver guideline "
Workspace Improvement in Payroll Room,Banyak dokumen-dokumen lama yang sudah tidak diperlukan ada diruangan tersebut,Tidak ada space untuk meletakkan dokumen baru dan terkesan berantakan,"Tidak ada space untuk meletakkan dokumen baru karena sudah penuh ,segregasi penempatan dokumen berantakan"
TA - Improve Quality Toy HCC91 Torso chelsea,"Return torso 25 % gap
Unclear date code",Rubber blm disetting.dippingnest tdk banjir.nest date code tdk proper,"Gap pundak - Rubber kurang turun dan sudah aus
,Aliran ethyl tdk rata - Dipping nest kotor,Date code unclear - Nest tdi proper"
Grade Progression Approval System,NULL,NULL,NULL
Replacement seal kit offline to reduce downtime when leaking occured,downtime replacement charging pump seal,8 hour downtime,downtime 8 hours for corrective action oil leakage in charging pump
BBD - Improvement quality dan productivity Toy GJK08-6519 Painted Head,Output BBD Asymmetrical Eye,"Reject Asymmetrical Eye 100%
","Output toy GJK08 finding take hold 1.000.000ppm Root causenya Hasil print BBD reject asymmetrical eye karena ,Dibutuhkan 1 operator untuk proses oven dan adanya excess motion root causenya proses oven menata roto head ke pack board kemudian dibawa ke area rotocast untuk dioven kemudian dituang kembali pada box kuning untuk diproses BBD,Output pada mesin BBD 3500/shift dengan pemakain 2 operator root causenya adanya proses oven dan 1 operator pada proses crown"
Grade Progression Approval System for NPDL & IDL,"Grade Progression NPDL & IDL use approval system manually and still paper base. 
","Personal Action Form need to sign for approval with manual system
,Need space for filling documents keeping.
,Takes transportation for superior and GP auditor to have approval sign from superior to dept head (waste time and become easily lost)
",-
PIM - Improve Quality HGM72,Part bending ,200.000 ppm,Reject bending  200.000ppm - Karena packing part menggunakan polybag shg part menumpuk.
PIM - Cleaning Cooling fan,Finding 5s Gemba KB,Kondisi cooling fan berdebu dan tdk jelasnya R+/siapa yg bertugas untuk cleaning cooling fan,Cooling fan kotor - Cooling fan tidak ada jadwal cleaning 
PO - New Line GXF05,New line,CT tidak balance di beberapa proses,"CT tidak balance di proses elastic waist (73mm) 2x, E/S leg (32mm) 3x
dengan proses E/S hand (19mm)2x - CT E/S waist 2x dan leg 3x CT...18'
CT E/S hand 2x CT ...13',CT tidak balance di proses rband hair dan pullback dengan proses joint head,positioning leg - CT rband hair dan pulback CT...19' 
CT joint head  , positioning leg CT 12',CT tinggi di proses grooming  ponitail dan hsetting  - CT 3 oprt grooming 65', 1 oprt CT 90'"
Filling Document MIMIC Part List & EDM,-,-,-
PD - Colorant Input in partlist for BOM update,Different colorant part number during partlist creation and flowchart,"partlist created 98 days before PS (before development start), meanwhile flowchart created after development run. Sometime there are different part number that use in partlist and flowchart",NULL
SP - PP Kaizen Toy HJW91 Shoe,Memastikan saat PS berjalan lancar,"Smear  samping kanan dan kiri bagian depan shoe 500.000ppm,molded flash pada bagian runner dan sekeliling shoes, Kesulitan saat akan menggunakan book mask karena  tidak ada identitas antara R&L ","Smear pada bagian kanan dan kiri 500.000ppm
Root cause:
Book mask tidak press fit saat di fitting ke molded ,Adanya proses sortir sebelum di proses spray sehingga down time 20samapi 30
Root cause:
Molded flash di sekeliling shoe ,Kesulitan saat akan menggunakan book mask antara kanan dan kiri 
Root cause:
Book mask tidak ada identitas antara R dan L"
SP - PP Kaizen toy HRF55 Dashbag,Memaskitan saat PS berjalan lancar,"Kesulitan saat fitting part ke mask ,Ct lama saat melepas part dari mask after spray,cat beda warna dengan APP","Kesulitan saat fiting part ke mask 
Root cause:
Tidak ada guiden di mask yang menunjukan mana bagian depan dan bagian belakang,Ct lama saat melepas part dari mask after spray
Root cause:
Adanya variasi molded ( lebih besar dari seharusnya) ,Adanya perbedaan hasil spray dengan Aprove( warna lebih muda)
Root cause:
Cat encer sehingga warna lebih muda "
SP - PP kaizen toy HRF55 head & body,Memastikan saat PS berjalan lancar,"Scratch pada base nose 800.000ppm,Smear pada bagian base nose 500.000ppm,Not full spray pada bagian kaki sebelah kanan 500.000ppm,Hasil spray Pada bagian belakang body tampak tidak rata 1000.000ppm","Scracth base nose 800.000ppm
Root cause:
Cat kasar ,Smear pada bagian nose 500.000ppm
Root cause: 
Molded bending,Hasil spray pada baian body belakang tampak tidak rata
Root cause:
Molded flash di bagian tengah memanjang ,Not full spray pada bagian kaki 500.000ppm
Root causa:
1/2 mask kurang buka"
PIM - Improvement Quality shoes HJW86,Part cav L1 issue broken,1/1 atau 50?,"Shoes cav L1 broken-Gate unbalance,Part susah dicabut-Ploting core terlalu kesat atau kurang licin"
FA - Ramp up sch toy HHG52,Ramp up schedule dari 1800 ke 2300,CT tidak balance di beberapa proses ,"Tidak balance di proses date code insert, rubberband insert 3pc dengan proses tag head -Date code insert, rubberband insert 3pc CTnya 15 detik 
Tag head CTnya 9 detik ,Tidak balance di proses date code torso, pasang kalung, rubberband kalung, dengan proses join head, pinwaist pinggang 2x -Proses date code torso, pasang kalung, rubberband kalung CTnya 14 detik 
Join head,pinwaist pinggang 2x  CTnya 10 detik ,Tidak balance di proses rubberband insert untuk ekor,rubberband ekor biru,assy ekor pink ke blister dengan 
 rubberband,blister to insert,dengan proses pinwaist arm-Rubberband insert untuk ekor,rubberband ekor biru,assy ekor warna pink ke blister dengan rubberband,blister to insert  CTnya 16 detik
Pinwaist arm 8 detik "
PO - KAIZEN NEW LINE TOY HBV30,NEW LINE,"CT  TIDAK BALANCE DI BEBERAPA PROSES
- Date code ic dan pasang shoes
- TTI dan Assy CDU
-Scdl 3500 running 5 jam  per jam 700 run 
 2 Cell ( 350/jam) CT 10'
- standar hours 22.847
","CT tidak balance di proses Date code ic dan pasang rb1/2 "" to insert , pasang shoes purple - - Date code ic CT6'
- pasang 1/2"" rband to insert , pasang shoes purple 2 oprt CT  24',CT tidak balance di proses TTI dan proses Assy CDU - - Proses TTI dan tag vinnil CT 13'
- Assy CDU CT 7'"
FA - Kaizen New Line FXP15 Line B03,New Line,"Std hrs 70.918, eff 100%, sch 748","Stand grooming goyang-Scew kurang 1,Finding missing egg cartoon 1/6 = 166,666ppm-Proses attach assy egg cartoon, attach assy chicken 2 , attach ladder tidak melakukan proses secara berurutan,Finding reject improper rubber band-Operator kurang paham posisi rubber band,CT Tinggi di proses attach assy chicken, attach assy egg cartoon, attach ladder CT 33s TT 28s dan CT rendah di proses ES farmer CT 22s-Penumpukan "
"BB - Improve Control System at Rework Process at Barbell
",Kurang baiknya sistem kontrol untuk inventory before dan after rework,"Before dan after rework masih tercampur antara PN ID dan 1806,Quantity after rework tidak terpakai secara maksimal","Belum adanya maximum quantity untuk before dan after rework sehingga terkadang inventory memakan layout lebih banyak dari seharusnya,Belum adanya rules yang mengatur perbedaan treatment untuk part ID dan part 1806, dimana ID terkadang jalan terkadang tidak. Alhasil ada part ID yang sudah tidak lama jalan namun mengendap di inventory after rework.,Operator kesulitan membedakan antara part number ID dan 1806,MH kesulitan untuk prepare material after rework karena part diletakkan tercampur dan tidak ada identitas per bin,Belum ada rules yang mengatur part number mana yang terlebih dahulu harus dirework karena tidak acuan yang jelas,Ada opsi untuk memaksimalkan penggunaan bin kuning besar dengan muatan yang lebih banyak pada rak ,Notes"
Improve Toy Gift Inventory System: Maximizing Efficiency & Accuracy,"stock inventory less updated,Inventory storage space is not enough,No system to update data inventory,There is no SOP for handling rejected toys,Less people to update,There is no SOP on how to request gifts","Still using manual calculation (no formula) for 159 toy data,There is 159 not accurate toy data, because still using excel as database","Un-categorized toy layout
,Not proper segregation
,No layout 
,No inventory data system
"
PPE Requisition review and system improvement,"Currently, PPE requisition released from each area will be routed to EHS to obtain EHS review and acknowledgement. This process need further review to identify if the current process still relevant and value added ","All PPE requisition released from each area will be routed to EHS to obtain EHS review and acknowledgement. ,Employee asked to fill PPE acceptance form,Employee acceptance and MR form will be a data source to be entered in database PPE","Form persetujuan penggunaan PPE saat ini tidak digunakan secara optimal dan standard. Misalkan: penggunaan form secara kolektif, sedangkan format form adalah untuk perseorangan,Terdapat ketertundaan submission dan approval MR, khususnya pada permintaan yang masuk pada hari Jumat sore atau sabtu,Belum terdapat data kapan request masuk dan kapan request diapprove,Data Persetujuan penggunaan PPE West Plant dikirimkan setiap 2 hari sekali lalu di key in oleh EHS admin di East Plant,Database PPE belum optimal dengan informasi jenis PPE dan tanggal permintaan PPE, karena data-data yang masuk belum semua dikey in oleh karena informasi tidak jelas (Nama dan KPK tidak jelas/ tidak lengkap, PPE yang diminta tidak terbaca),Data headcount tidak terupdate ,KPK New hire belum ada saat permintaan PPE disubmit,Form MR yang sudah diapprove, saat ini dapat diambil oleh siapapun dan berpotensi disalahgunakan,Terdapat perbedaan practice untuk proses flow pemeriksaan data request PPE oleh admin EHS 1 dan admin EHS 2. Admin EHS 1 melakukan pemeriksaan kondisi PPE dan pemeriksaan data, sedangkan admin EHS 2 tidak melakukan pemeriksaan, namun langsung ke tahap approval oleh EHS Engineer"
SW - Kaizen Quality & productivity Improvement toy HRF57 (30 juni),Issue defect puckering topstich,Reject puckering topstich dan needle hole,"Ditemukan reject ekspose lining V neckline, 4/5-Karena posisi lining di bawah sehingga tidak kelihatan pada saat proses topstich.,Di temukan rejectk puckering di top, 5/5-Proses di lakukan dengan menggunakan felling foot dengan material yg tebal,Di temukan hasil jahitan feloing bottom top besar kecil stisches nya, 3/5-Proses di lakukan dengan felling foot dan harus ada proses menarik bahan karena sering macet.,Di temukan hasil jahitan stay ribbon tidak seimbang, 5/5-Proses di lakukan dengan standart foot asli sedangkan ribbon ukuran kecil ,Di temukan hasil jahitan tacking ribbon menggumpal -Proses di lakukan dengan di tacking di 4 titik"
Reminder system for Advance Payment of Service Order ,Missing process of Down Payment (DP) because we don't have system to check whether the vendors have submitted invoices or not yet. ,Actial lead time of Payment Requisition process in YTD 2023 for DP & Advance Payment (Excel data),"Missing process Down Payment to Vendor,No database for vendors require advance payment ,Missing process advance payment to vendor"
PO - Kaizen New Line Toy GJB58,New Line,Ct tidak balance di beberapa proses ,"Ct tidak balance di proses assy acc 1 dan slot blister acc 1-* proses assy accy 1 ct : 9 tt: 13
* proses creasing blister acc dan slot blister 
  acc 1 ct: 14 tt: 13,Ct tidak balance di proses psg tent frame bottom dan proses lock insert-* proses psg tent frame bottom + lock insert 
   sebelah kanan + isolatif ct: 15 tt : 13
* proses lock insert sebelah kiri dan bawah + 
  isolatif  tabin tenda ct: 10 tt:13,Ct tidak balance di proses assy acc 2 dan tag microtach tenda-* proses assy acc 2 dgn 2 opt ct : 30 dan 31
* proses microtach tenda dgn 3 opt ct : 26, 27  dsn 25,Ct tinggi di proses slot blister acc 2-Slot blister acc 2 dgn 4 kaki  blister, operator pd saat proses slot di mulai dgn kaki blister atas sehingga pada saat slot kaki blister samping posisi tangan kehalang blister,Loose microtach tenda 25/263 = 95.057 ppm- Pin Microtach ketarik pada saat melepas microtach"
SP - PP Kaizen toy HJN31 Sculpture Top ,Memastikan saat PS berjalan lancar dan output sesuai FC,Down time 20 menit diawal running karena vicositas cat tidak sesuai 17:18 vs 15:16,"Down time 20 menit diawal running karena warna tidak sesuai dengan approve sample 
Root cause:
Warna cat yang dihasilkan lebih shine dan  kasar dari approve sample dengan pemakaian cat Black #6 dengan vicositas 17:18 dan merubah formulasi hingga 3x,Ditemukan reject scratch mold 300,000PPM setelah proses inspect pada bagian rear
Root cause:
Molded part pada bagian gate terdapat coakan yang dalam sehingga terlihat setelah proses spray,Ct tinggi diproses cleaning + inspect F/R 18s TT 9s
Root cause:
Operator melakukan proses cleanin alcohol, insert jig, inspect, packing dan insert polybag F/R,Excess motion operator cleaning alcohol dan inspect karena bolak/i harus menyuplai proses spray F/R
Root cause:
Layout flow proses tidak proper"
TP - PP Kaizen HJN31 Doll Base,Memastikan saat PS berjalan lancar,Standard packing pada SOP melebihi kapasitas 408,"Reject hairy 1,000,000PPM setelah proses tampo
Root Cause:
Sudah adjust cat dan setting tekanan mesin masih ditemukan reject hairy, dan dengan penggunaan rubber amazone dirubah dengan rudal besar reject hairy tidak ditemukan,Standard packing SOP melebihi kapasitas 
Root cause:
Standard packing yang digunakan team IE tidak dapat digunakan untuk toy doll base HJN31 kerena bentuk nya yang pentagon sehingga kapasitas box tidak mencukupi untuk standard packing sesuai dengan SOP 408pcs"
Automate Logbook using Macro program,"Pencarian data di logbook membutuhkan waktu lama karena masih manual,Buku logbook rawan hilang/rusak sehingga memerlukan tempat untuk penyimpanan.,Data logbook diketik ulang di excel sehingga ada double pekerjaan,Nama/paraf penerima terkadang tidak jelas sehingga menyulitkan pencarian data","Pengiriman dan penerimaan dokumen menggunakan buku logbook,Pengisian logbook dilakukan dengan menulis, membutuhkan waktu lebih lama karena data yang diinput banyak","Nama/paraf penerima di logbook terkadang tidak jelas sehingga menyulitkan pencarian data,Pencarian data di logbook membutuhkan waktu lama karena masih manual,Buku logbook rawan hilang/rusak sehingga memerlukan tempat untuk penyimpanan,Data logbook diketik ulang di excel sehingga ada double pekerjaan"
IMPROVE & SIMPLIFY - PRINTED FORM LIST IN MAILROOM,A major printed-form supplier has decided to resign from supplying mailrooms,"20% of the total number of items is only used by 1 area, not applicable to other areas,We have more than 198 printed-form items in the mailroom list of which 40% are inactive","Ordering system masih manual menggunakan form/kertas,Printed form yang hanya dipakai 1 departemen ada di mailroom (Klinik)
, Banyak form yang sudah lebih dari 2 tahun tidak terpakai dan tidak diambil usernya
,Kuota min max setiap bulan berubah ubah 
"
PO - Kaizen  new line Toy HJN30,New line,"Std hours 394,995
Opt 16
Jk 8
Eff 85^","Proses tixak balance di proses creasing insert , slot body dan tape layer ct 110 tt 97
--Proses lock ribbon body to insert ct 87
,proses tidak balance di proses TTI,assy certificate to polybag, tape back layer ct 105-proses holder arm,tape doll base ct 86,penumpukan di proses attach pvc, lid ic, numeric label and tissue paper ct 104-proses doll to mc ct 78,problem quality dirty costum 5/20-Operator tidak melakukan pengecekan costum sebelum di pakai,Problem damage ic 3/6-Layer pada mc yg di pakai untuk penutup ic tidak standart  ada yg besar ada yg kecil shg tidak bisa menutupi ic"
TP - Reduce Issue Misposition Machine Auto Tampo A06 & C02,Misposition is the highest QC finding at Tampo,"Total finding July : Machine A06 : 37 major, C02 : 28 major",Kondisi tray rusak di bagian pengunci car sehingga part tidak terangkat secara proper oleh gripper 
PA - Improvement quality head HRF56,no hold ear,No hold ear 4/40,"material head drees front sm rear tercampur karena tdk ada tempat yg rear-karena tidak tempat yg head drees rear 200/200,CT lama 27 sc-karena tangan operator tdk balance antara tangan sm kiri"
BBD - Reduce reject scratch painted head diarea BBD,Memastikan roto head tercleaning dengan benar,"Temuan LBO eksternal di WE 6/17,Defect Contributor BBD to LBO FA May- 2023
","Roto head tidak tercleaning dengan benar, karena tidak ada visual setelah proses cleaning
Root Cause:
Belum ada rasa kepedulian diproses cleaning sehingga proses cleaning dilakukan tidak benar dan tidak sesuai
,Proses cleaning tidak benar dan sesuai
Root Cause:
Tidak ada visual setelah proses,Temuan LBO FA di WE 6/17 terkait issue scratch paint
Root Cause:
Paint peel off setelah beberapa proses dikarenakan kekuatan paint kurang rekat karena proses claning yang tidak akurat dan konsisten"
FA - RAmp Up Schedule Toy HND29,Ramp Up Schedule dari 1100 ke 1370,Issue Quality dan CT tidak balance di beberapa proses,"CT tidak balance di proses tag head 2 pc CT nya 12 detik,dengan proses  
 creassing insert,pasang rubberband 4 pc CT nya 23 detik ,Tidak balance di proses merapikan rambut belah kanan dan kiri,rubberband hair atas,pull back CT nya 24 detik,sedangkan proses merapikan rambut bawah ,selot rubberband ke insert CT nya 17 detik,Tidak balance di proses TTI dan buka polybag CT 21 detik(TT TTI=75% dari TT=15 Detik) dengan proses lock insert CT nya 14 detik,Reject messy hair 55.555 PPM, karena setelah rambut di sisir,sisa rambut bawah tidak di potong"
FA - Ramp Up Schedule Toy GXF05,Issue Quality Messy Hair dan Ramp Up Schedule dari 2500 ke 3000,"CT tidak balance di beberapa proses dan issue messy hair 52,500 PPM","Messy hair 52.500 PPM karena proses merapikan rambut saat memasukkan rambut ke dalam rubberband tidak mengikuti arah rambut,sehingga saat di join head rambut ada yang tertarik keluar ,Tidak balance di proses gromming ponytail dan hair setting dengan pemakaian 7 operator CT masing masing 74 detik,,CT tidak balance di proses date code torso dan pasang j hook.
 Proses date code torso + pasang pant dengan 3 operator rata rata CT nya18 detik
Proses date code ic , pasang rubberband, pasang  j hook ct 11  detik
,Tidak balance di proses pasang top dan elastic strappler leg,
Root Causenya proses pasang top dengan 4 operator rata rata ct 24 detik 
Proses touch up leg dan elastic strappler  leg 4× ct 20 detik
"
PA - PP kaizen improvement Quality HMT91 Torso,Untuk memastikan PS berjalan dengan lancar sesuai scd,Gap pinggang 50%,"Issue unfungtion lower arm tidak bisa di joint dengn alat karena arm keras 10/10,Issue gap pinggang 5/10 
pada saat proses clamping upper torso di rendam,Issue joint leg to lower gap karena nest rubber kurang turun 5/10"
DC - Segregasi Material dari Die Cast ke ESP dan Tampo,Material dari DIe Cast tidak tersegregasi berdasarkan Mold Number di area ESP dan Tampo,Membutuhkan waktu untuk sortir issue Mold Number base jika ada finding di area ESP dan Tampo,Mold Number pada Part Number yang sama tercampur
Improve adminstartive task using macros,Pekerjaan adminstratif membutuhkan waktu dalam pembuatannya,pekeraan ini perlu di update secara regular,"Pencatatan data untuk  PA performance dilakukan secara manual,Pencatatan data untuk  PP & FEP  performance dilakukan secara manual,Compose Email absensi untuk report ke SPV dilakukan daily secara manual,Membuka file data testing dari logbook summary report butuh waktu,Kesulitan dan lama pada saat mensort submission ongoing testing di file Report Summary, karena terdapat 4 Team."
PO - Kaizen New Line di Toy HJR99,New line,Ct tidak balance di beberapa proses,"Ct tidak balance di proses date code torso dan join head-* proses date code torso + dressing + psg shoes ct : 17 TT : 15
* proses join head ct: 9 TT: 15,Ct tidak balance di proses tag head dan psg r/ b 1pcs to blister-* proses psg kepala + tag head+ fullback ct: 17 tt :15
* proses psg r/b 1 pcs to blister ct: 10 tt:15,Ct tidak balance diproses buka polybag dan tag vinyl-* proses buka polybag + TTI + resleting vinyl dgn 2 opt ct : 33 dan 34 tt: 15
* proses tag vinyl ct : 8 tt : 15,Ct tinggi di proses psg sunglases-Proses pin waist + psg sunglases ct : 18 tt: 15 karena pada saat proses  r/b  sunglases posisi tangan terhalang blister,Messy hair 20/240 = 83.333 ppm-Polybag kepala terlalu kebawah sehingga pada saat proses TTI mencabut polybag rambut ketarik tangan opt TTI"
PO - PP kaizen HMH26,PP Kaizen untuk memastika PS berjalan lancar,"Excess motion, CT tidak balance di beberapa proses.","Potensi scratch date code acc luggage-after date code luggage di letakkan di Bin,Potensi missing part acc-Proses assy acc di blister tidak berurutan,Issue Bulky ccover luggage di conveyor -Handling  after date code cover luggage di letakkan di convayer  menuju proses assy luggage,Proses tidak balance di proses assy lugagge & Cover w Jig  dan  assy luggage  hop plate , locking PEt Support  to aquarium, locking & slot PEt support aquarium. -Proses 1 = assy lugagge & Cover w Jig   CT  26 s.
Proses 2 = Assy Cover luggage and hop plate luggage, attach PET support & locking PEt Support  to aquarium, locking & slot PEt support aquarium to luggage. CT 49 s,Di temukan broken insert 12/112 =107.000 ppm-Saat tie down luggage dengan 2  ply r band,Over processing di tie down acc fisf dan coral, tie down to aquarium -Proses creasing PET di lakukan 1 per 1  di setiap garis crease nya, CT 48"
PO - kaizen new line Toy HMG49,New line ,"Beberapa proses CT tidak balance (groming,insert,microtag dress)","Groming style menumpuk --5 operator groming style CT = 108 s
-8 operator groming hair setting CT= 149 s,CT tidak balance diproses date insert dan tag head.-- date code IC+attack j- hook lalu press, attack rubberband 2 pcs CT = 30 s.
- oven head + attack rubberband 1 pcs + tag head CT = 25 s.,CT tidak balance di proses microtec lower dress dengan microtec tack dress.-- lipat dress tail lalu tack dress to Insert 2x CT = 20s.
- attack dress to insert lalu buka dan tutup velchro dress to insert dan microtec lower dress to insert CT = 31s
"
PO - PP Kaizen HCB95 (21 Jul),PP Kaizen untuk memastikan PSD berjalan lancar,"EXcess motion, Ct Tidak balance, issue imp hair","Issue  Imp hair 7/15 =400.000 ppm-Posisi nut hansew ke 2 pada  sejajar ke bawah ,Di temukan imp posisi arm 3/15 = 200.000 ppm-Celotape terangkat pada strap arm holder 3224-0297.,CT tinggi pada proses handsew back costume.-Methode handsew dengan  6 kali tusuk dan 5 kali kunci, CT  72s,Excess motion di handsew skirt to insert.-Handsew skirt dari kiri ke kanan dengan benang di putus dulu . CT 198s,Excess motion di proses attach cristal dan lock lower IC-Lamp cristal bergeser karena proses tape di lakukan di proses lock lower IC."
PO - Kaizen New Line Toy HLW49 ,New line ,"Beberapa proses tidak balance diproses (date code torso ,date code IC ,pin straples, microtec skirt).","CT tidak balance di proses datecode torso dengan datecode IC
-- Date code IC  +  buka tule head CT = 18s 
- Date code torso + attack skirt + attack shall + attack shoes dan join head CT= 25 s.,CT tidak balance diproses pin straples dengan microtec skirt.-- pin starples leg & neck + tag head to insert CT= 27 s.
- microtec skirt (2 x )+ attack rubberband hair to arm ( 2 x ) CT = 19s.,CT rendah di proses spotwelding dan TTI .-- Spotwelding tab dress+ apply Jhonson to blister outer CT = 8 s.
Operator TTI dan join doll to blister outer dan lock blister 1x CT = 10 s"
Improve Quality Line B12 Toy HJW81 Part 11029-24602,"Toy massal
","Eff 47% 
",NULL
PO - PP Kaizen toy HJN33,PP Kaizen untuk memastikan PS dapat berjalan lancar,"Excess motion, Ct tidak balance di beberapa proses","Excess motion dan CT tinggi di proses make Bun-Saat make Bun menggunakan rubberband 2 inch, rubberband sering melorot dan opt banyak touch up karena kendor. CT 9 menit 50 detik,Issue imp cracking Bun 6/15 = 400.000ppm-Pengambilan rambut untuk Bun terlalu tipis sehingga cracking saat jig di lepas.,kesulitan dan potensi imp dressing peticoat .-Dengan urutan proses : Date code--> Dressing skirt --> pasang peti coat. CT 3 menit 40 detik.,Excess motion di proses attach strap snow yack.-Proses attach strap snow yack di lakukan after handsew Bow snowyack sehingga saat pasang strap harus mencongkel bow karena strap harus berada di bawah Bow.CT 2 menit 48 detik.,Kesulitan saat handsew dress.-handsew dress di lakukan di atas meja. CT 3 menit 10 detik."
